2023-09-03 21:48:05.346016 name = Шлифовальная машина, width = 50, height = 40, weight = 600, type = electric, num_battery = 1, only_socket = False,
2023-09-03 21:48:05.348015 name = Молоток, width = 10, height = 30, weight = 150, type = mechanical, num_battery = 0, only_socket = False,
2023-09-03 21:48:05.348015 name = Машинка электрическая, width = 10, height = 15, weight = 75, minimum_age = 3, num_battery = 5, child_age = 2,
2023-09-03 21:48:05.349014 name = Плюшевый мишка, width = 50, height = 100, weight = 50, minimum_age = 1, num_battery = 0, child_age = 2,
2023-09-03 21:50:21.419002 name = Шлифовальная машина, width = 50, height = 40, weight = 600, type = electric, num_battery = 1, only_socket = False,
2023-09-03 21:50:21.420001 name = Молоток, width = 10, height = 30, weight = 150, type = mechanical, num_battery = 0, only_socket = False,
2023-09-03 21:50:21.484250 name = Машинка электрическая, width = 10, height = 15, weight = 75, minimum_age = 3, num_battery = 5, child_age = 2,
2023-09-03 21:50:21.489249 name = Плюшевый мишка, width = 50, height = 100, weight = 50, minimum_age = 1, num_battery = 0, child_age = 2,
2023-09-03 21:51:26.651597 name = Шлифовальная машина, width = 50, height = 40, weight = 600, type = electric, num_battery = 1, only_socket = False,
2023-09-03 21:51:26.652599 name = Молоток, width = 10, height = 30, weight = 150, type = mechanical, num_battery = 0, only_socket = False,
2023-09-03 21:51:26.652599 name = Машинка электрическая, width = 10, height = 15, weight = 75, minimum_age = 3, num_battery = 5, child_age = 2,
2023-09-03 21:51:26.652599 name = Плюшевый мишка, width = 50, height = 100, weight = 50, minimum_age = 1, num_battery = 0, child_age = 2,
2023-09-03 21:54:39.868396 name = Шлифовальная машина, width = 50, height = 40, weight = 600, type = electric, num_battery = 1, only_socket = False,
2023-09-03 21:54:39.869395 name = Молоток, width = 10, height = 30, weight = 150, type = mechanical, num_battery = 0, only_socket = False,
2023-09-03 21:54:39.869395 name = Машинка электрическая, width = 10, height = 15, weight = 75, minimum_age = 3, num_battery = 5, child_age = 2,
2023-09-03 21:54:39.869395 name = Плюшевый мишка, width = 50, height = 100, weight = 50, minimum_age = 1, num_battery = 0, child_age = 2,
2023-09-03 21:54:46.717335 name = Шлифовальная машина, width = 50, height = 40, weight = 600, type = electric, num_battery = 1, only_socket = False,
2023-09-03 21:54:46.718334 name = Молоток, width = 10, height = 30, weight = 150, type = mechanical, num_battery = 0, only_socket = False,
2023-09-03 21:54:46.718334 name = Машинка электрическая, width = 10, height = 15, weight = 75, minimum_age = 3, num_battery = 5, child_age = 2,
2023-09-03 21:54:46.718334 name = Плюшевый мишка, width = 50, height = 100, weight = 50, minimum_age = 1, num_battery = 0, child_age = 2,
2023-09-03 21:56:26.014718 name = Шлифовальная машина, width = 50, height = 40, weight = 600, type = electric, num_battery = 1, only_socket = False,
2023-09-03 21:56:26.017716 name = Молоток, width = 10, height = 30, weight = 150, type = mechanical, num_battery = 0, only_socket = False,
2023-09-03 21:56:26.018716 name = Машинка электрическая, width = 10, height = 15, weight = 75, minimum_age = 3, num_battery = 5, child_age = 2,
2023-09-03 21:56:26.018716 name = Плюшевый мишка, width = 50, height = 100, weight = 50, minimum_age = 1, num_battery = 0, child_age = 2,
2023-09-03 22:09:27.169149 name = Шлифовальная машина, width = 50, height = 40, weight = 600, type = electric, num_battery = 1, only_socket = False,
2023-09-03 22:09:27.169149 name = Молоток, width = 10, height = 30, weight = 150, type = mechanical, num_battery = 0, only_socket = False,
2023-09-03 22:09:27.169149 name = Машинка электрическая, width = 10, height = 15, weight = 75, minimum_age = 3, num_battery = 5, child_age = 2,
2023-09-03 22:09:27.170149 name = Плюшевый мишка, width = 50, height = 100, weight = 50, minimum_age = 1, num_battery = 0, child_age = 2,
